Canonical Pathways,1vsAll,2vsAll,3vsAll,4vsAll,5vsAll,6vsAll
Antioxidant Action of Vitamin C,-3.464,0,-2.121,-0.426,1.091,4
Antiproliferative Role of Somatostatin Receptor 2,2,0,-0.378,2.828,2,-1.265
Apelin Adipocyte Signaling Pathway,-1,0,0.378,0.6,1.414,0
Apelin Cardiac Fibroblast Signaling Pathway,0,0,-1,0.378,0,2
Apelin Cardiomyocyte Signaling Pathway,2.333,0,1.789,1.372,0.365,-2.5
Apelin Endothelial Signaling Pathway,1.732,0,0,3.781,2.53,-1.706
Apelin Liver Signaling Pathway,0,0,2.449,-0.707,-1.134,-2.646
Apelin Muscle Signaling Pathway,0,0,0,1.633,1.633,0
Apelin Pancreas Signaling Pathway,0,0,-1.89,2,2.357,0.632
Apoptosis Signaling,0,0,1.633,-2.921,-0.784,-0.258
April Mediated Signaling,0,0,1.633,-0.333,0.905,-2.333
Aryl Hydrocarbon Receptor Signaling,0.302,0,2.111,0.447,1.89,-0.632
Asparagine N-linked glycosylation,0,0,2,-0.302,1.633,1
Aspirin ADME,0,0,0,0,0,2
Assembly and cell surface presentation of NMDA receptors,2,0,1.342,0,-0.905,-1.134
Assembly of collagen fibrils and other multimeric structures,4.899,-1.134,4.359,-0.447,-3.5,-4.796
Atherosclerosis Signaling,0,0,0,0,0,0
ATM Signaling,0,0,1,-1.46,-0.655,-0.816
Atorvastatin ADME,0,0,0,0,0,2.236
Autism Signaling Pathway,2.858,-0.632,2.949,1.132,1.501,-3.086
Autophagy,-0.832,0,1.877,0.258,0.508,-0.626
Axonal Guidance Signaling,0,0,0,0,0,0
B Cell Activating Factor Signaling,0,0,2,-0.707,0.632,-2.828
Basal Cell Carcinoma Signaling,0,0,2.714,-1.155,-0.277,-1.414
Beta-catenin independent WNT signaling,2.828,0,2.309,0.816,-0.209,-3.464
BEX2 Signaling Pathway,0,0,2.138,-0.218,-1.528,-1.732
Bladder Cancer Signaling,0,0,2.121,1.155,2.111,-0.447
BMP signaling pathway,0,0,0.816,3,2.2,-1.134
Branched-chain amino acid catabolism,0,0,-1,1.342,1.342,2.236
Branched-chain α-keto acid Dehydrogenase Complex,0,0,0,0,0,0
Breast Cancer Regulation by Stathmin1,7.407,-2.524,1.668,5.544,1.362,-5.58
Bupropion Degradation,0,0,0,1.342,0,2.236
B-WICH complex positively regulates rRNA expression,0,0,2.236,-0.832,0.775,0
Cachexia Signaling Pathway,1.8,-1.155,3.683,1.325,0.775,-2.654
Calcium Signaling,2.121,0.816,2.357,0.324,0.378,-1.89
Calcium Transport I,0,0,0,0,0,0
cAMP-mediated signaling,4.041,-0.447,0.962,3.077,1.633,-1.528
Cancer Drug Resistance by Drug Efflux,0,0,0.378,2.324,2.183,-1
Carboxyterminal post-translational modifications of tubulin,2,0,0,-1.342,-1.633,-2.646
Cardiac conduction,1.414,0,2.502,-0.507,-0.73,-0.632
Cardiac Hypertrophy Signaling,2.5,0,3.286,1.313,0.516,-2.556
Cardiac Hypertrophy Signaling (Enhanced),5.246,-2.236,3.395,3.692,2.594,-4.185
Cardiac β-adrenergic Signaling,2.333,0,-0.302,0.707,0.756,-0.302
Cardiomyocyte Differentiation via BMP Receptors,0,0,0,0,2,0
Cargo concentration in the ER,0,0,0,2.183,2.53,0
Catecholamine Biosynthesis,0,0,0,0,0,0
Caveolar-mediated Endocytosis Signaling,0,0,0,0,0,0
CCR3 Signaling in Eosinophils,3,0,0.535,2.502,1,-2.5
CD27 Signaling in Lymphocytes,0,0,2.236,-1.387,-1.291,-1.897
CD40 Signaling,1.134,0,0.302,1.342,0.943,-1.807
CDK5 Signaling,0,0,2.496,0.928,-0.392,-1.069
CDP-diacylglycerol Biosynthesis I,0,0,0,0.378,0.707,0
CDX Gastrointestinal Cancer Signaling Pathway,-1.342,1,-0.686,-1.131,-0.493,2.646
Cell Cycle Checkpoints,1.897,-1.414,4.583,2,5.17,-3.638
Cell Cycle Control of Chromosomal Replication,2.449,0,2,0.229,0.832,0
Cell Cycle: G1/S Checkpoint Regulation,0,0,-1,0.632,-0.302,2.121
Cell Cycle: G2/M DNA Damage Checkpoint Regulation,0,0,0.447,0.277,-0.333,0
Cell junction organization,3.051,-1,3.3,0,-1.095,-0.632
Cell surface interactions at the vascular wall,4.811,-2.828,1.225,4.907,0.762,-4.802
Cellular Effects of Sildenafil (Viagra),0,0,0,0,0,0
Cellular hexose transport,0,0,0.447,-0.333,0,0
Ceramide Biosynthesis,0,0,0,1.342,0,0
Ceramide Degradation,0,0,0,2,0,0
Ceramide Signaling,-1.134,0,3.051,-0.192,-0.756,-1
CGAS-STING Signaling Pathway,2.111,-1.342,3.207,1.521,0.853,-4.025
Chemokine Signaling,1.414,0,0.707,2.746,1.043,-1.807
Cholecystokinin/Gastrin-mediated Signaling,0.632,0,1.414,2.401,1.915,-2.5
Cholesterol biosynthesis,0,2,-1.342,-1,2.121,0
Cholesterol Biosynthesis I,0,0,0,0,2,0
"Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)",0,0,0,0,2,0
Cholesterol Biosynthesis III (via Desmosterol),0,0,0,0,2,0
Chondroitin Sulfate Biosynthesis,1.667,0,1,0.229,0.333,-0.816
Chondroitin Sulfate Biosynthesis (Late Stages),2.121,0,0,0.775,0.707,-0.816
Chronic Myeloid Leukemia Signaling,3.411,-0.378,3.92,0.465,-0.115,-5.308
Cilium Assembly,1.633,1,3.153,-1.549,2.188,-1.414
Circadian Clock,0.816,0,0.707,0.894,1.877,0
Circadian Rhythm Signaling,0,0,0,0,0,0
Citrulline-Nitric Oxide Cycle,0,0,0,0,0,0
Class A/1 (Rhodopsin-like receptors),5.284,-1.414,2.626,4.6,0.149,-5.477
Class B/2 (Secretin family receptors),3.162,0.447,3,0.378,-1.606,-3.162
Class I MHC mediated antigen processing and presentation,3.3,0,0.365,2.887,4.159,-0.784
Class I peroxisomal membrane protein import,0,0,0,0.378,2.121,0
Clathrin-mediated endocytosis,1.134,0,1.667,1.808,0.73,-2
Clathrin-mediated Endocytosis Signaling,0,0,0,0,0,0
CLEAR Signaling Pathway,-1.606,0.333,1,-1.478,-1.359,-0.426
CNTF Signaling,0,0,-1,3.266,2.887,-1.265
Coagulation System,0.816,0,-0.905,1.604,0.447,-1.414
Collagen biosynthesis and modifying enzymes,3.742,0,3.578,-0.853,-3.13,-4.583
Collagen chain trimerization,3.742,0,3.638,-0.775,-3.207,-4.243
Collagen degradation,4.243,-1.342,4.359,-0.218,-3.153,-4.69
Colorectal Cancer Metastasis Signaling,3.128,-1.633,3.569,2.91,0.62,-4.629
Complement System,1,0,0,0.333,-0.447,0
COPII-mediated vesicle transport,1.342,0,-0.378,1.877,2.4,1
Corticotropin Releasing Hormone Signaling,1,1.342,1.069,2.53,1.461,-1.069
Costimulation by the CD28 family,2.236,0,-0.378,2.711,1.155,-2.84
CREB Signaling in Neurons,8.05,-2.357,0.853,5.702,0.53,-5.893
Crosstalk between Dendritic Cells and Natural Killer Cells,2.714,0,0,4.264,-0.258,-4
CXCR4 Signaling,1.155,0,2.065,3.086,1.48,-2.2
Cyclins and Cell Cycle Regulation,0,0,0,-0.632,0.905,-0.333
Cysteine Biosynthesis/Homocysteine Degradation,0,0,0,0,0,0
Cytoprotection by HMOX1,0,0,1.89,-0.655,-0.277,0
Cytosolic iron-sulfur cluster assembly,0,0,0,0,-1.633,0
DAG and IP3 signaling,0,0,0,2.309,0,-2.236
DAP12 interactions,2.646,0,0,3.9,1.414,-3.162
DDX58/IFIH1-mediated induction of interferon-alpha/beta,0,0,2,2.324,2.236,-0.816
Degradation of the extracellular matrix,4.123,-1.633,2.673,1.279,-2.496,-3
Dermatan Sulfate Biosynthesis,1.667,0,1,0.229,0,-0.816
Dermatan Sulfate Biosynthesis (Late Stages),2.121,0,0,0.577,0.816,-0.816
Detoxification of Reactive Oxygen Species,2.236,0,1,0.832,0,-1.89
DHCR24 Signaling Pathway,1.414,1.342,0.577,1.474,2,0.209
Dilated Cardiomyopathy Signaling Pathway,2,-2,-2.711,0.667,1.225,-0.447
Dissolution of Fibrin Clot,0,0,0,0,0,-2.236
"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis",0,0,0,-1.134,0,0
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis",0.816,0,3.5,0.316,1.521,-1.069
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis",0.816,0,3.5,0.316,1.521,-1.069
D-myo-inositol-5-phosphate Metabolism,1.414,0,3.638,0.149,0.973,-1.5
DNA Damage Reversal,0,0,0,-0.447,0,0
Docosahexaenoic Acid (DHA) Signaling,4.796,-1.508,1.219,2.525,1.068,-2.335
Dopamine-DARPP32 Feedback in cAMP Signaling,2.53,0,1.265,1.131,0.169,-2.887
E3 ubiquitin ligases ubiquitinate target proteins,0,0,0,1.941,2.84,0
Effects of PIP2 hydrolysis,0,0,0,0.333,0,-2.449
EGF Signaling,0.816,0,0,1.886,2.357,-2.111
EGR2 and SOX10-mediated initiation of Schwann cell myelination,0,0,-0.378,1.89,1.265,-0.447
Eicosanoid Signaling,2.449,0,1.342,2.121,0,-2.236
Elastic fibre formation,3.873,-2.646,2.683,2.138,-1.698,-4.123
"Electron transport, ATP synthesis, and heat production by uncoupling proteins",0,2,3,-4.743,-0.243,1.89
Endocannabinoid Cancer Inhibition Pathway,-1.265,0,-0.471,-1.605,-0.469,3.128
Endocannabinoid Developing Neuron Pathway,1.414,0,0,1.667,1.257,-0.943
Endocannabinoid Neuronal Synapse Pathway,2.673,-1,1.897,-0.649,-1.029,-1.807
Endometrial Cancer Signaling,0,0,-0.816,3.153,2.357,-1.265
Endosomal Sorting Complex Required For Transport (ESCRT),0,0,0,0.577,0.302,0
Endothelin-1 Signaling,3.545,0,1.964,2.405,1.069,-3.413
Energy dependent regulation of mTOR by LKB1-AMPK,0,0,0,-0.302,0.632,0
eNOS Signaling,2.887,0,1.213,2,1.225,-2
EPH-Ephrin signaling,2.449,0,2.121,1.257,-0.816,-2.111
Ephrin A Signaling,0,0,0,0,0,0
Ephrin B Signaling,2.236,0,0,2.828,-1.069,-2.53
Ephrin Receptor Signaling,3.464,-1,1.069,3.709,1.732,-1.342
Epithelial Adherens Junction Signaling,0,0.378,0.447,0.146,-0.687,-0.853
ERB2-ERBB3 Signaling,2,0,0,2.524,2.683,-1.732
ERBB Signaling,0,0,1.155,2.711,2.746,-2.138
ERBB4 Signaling,1.342,0,-0.378,3.441,2.982,-1.732
ERK/MAPK Signaling,3.357,0,1.134,2.582,0.849,-3
ERK5 Signaling,1,0,2.121,3.138,3.157,-1.134
Erythropoietin Signaling Pathway,0,1.414,0.392,2.832,1.342,-1.134
Estrogen Biosynthesis,0,2.236,0,0,0.816,2.646
Estrogen Receptor Signaling,3.922,-1.414,3.938,1.238,0.704,-3.569
Estrogen-Dependent Breast Cancer Signaling,0.447,0,-0.333,3.5,2.524,-1.732
Ethanol Degradation II,0,0,0,1.342,0,0
Extracellular matrix organization,5.477,-1.941,5.209,0.649,-2.043,-5.099
Extra-nuclear estrogen signaling,0.816,0,0.905,3,2.065,-1.633
Extrinsic Prothrombin Activation Pathway,0,0,0,-0.447,0,0
Factors involved in megakaryocyte development and platelet production,1.342,0,3.207,0.816,-1.633,-2.646
Factors Promoting Cardiogenesis in Vertebrates,2.828,0,2.84,1.667,1.441,-3.3
FAK Signaling,9.217,-2.4,1.473,7.194,0.949,-7.06
Fanconi Anemia Pathway,0,0,1.633,-1.387,0.577,0
FAT10 Cancer Signaling Pathway,1,0,0,1.508,0.577,-1.897
Fatty acyl-CoA biosynthesis,0,0,0,-0.447,0.632,0
Fc Epsilon RI Signaling,3.162,0,0.832,3.703,1.826,-3.411
Fcgamma receptor (FCGR) dependent phagocytosis,3.162,0,0.707,4.849,0.5,-3.771
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes,4,0,0.832,2.466,0.447,-3.71
Ferroptosis Signaling Pathway,2,-1.342,1.265,2.828,1.414,-0.333
FGF Signaling,1.342,0,0.258,2.2,2.887,-1
FLT3 Signaling,0,0,0,2.673,1.897,-2.646
FLT3 Signaling in Hematopoietic Progenitor Cells,2,0,0.333,3.182,3.157,-1.941
fMLP Signaling in Neutrophils,3.162,0,0,4.333,1.859,-2.4
Formation of Fibrin Clot (Clotting Cascade),2.236,0,-0.302,2.673,0.816,0
Formation of WDR5-containing histone-modifying complexes,0,0,2,-2.138,-0.577,0
FXR/RXR Activation,-0.905,-0.333,-0.471,-0.849,-1.219,0.209
G alpha (12/13) signalling events,2.496,0,2.84,-0.343,-1.225,-2.887
G alpha (i) signalling events,4.802,-1.213,2.412,4.333,-0.617,-4.707
G alpha (q) signalling events,3.545,-2.236,1.177,3.576,0.667,-4.123
G alpha (s) signalling events,3.051,0.378,3.273,2.03,-0.898,-3.3
G alpha (z) signalling events,2.236,0,1.633,2.324,-0.302,-2.333
G Beta Gamma Signaling,1.89,0,2.333,3.452,1.616,-2.138
GABA Receptor Signaling,0,0,0,0,0,0
GABAergic Receptor Signaling Pathway (Enhanced),-0.302,-0.905,0.894,1.093,0.87,1.604
GADD45 Signaling,0.447,0,0.816,-2.309,0.535,1.155
"Gamma carboxylation, hypusine formation and arylsulfatase activation",0,0,0.816,0.535,0.577,0
Gap Junction Signaling,0,0,0,0,0,0
GDNF Family Ligand-Receptor Interactions,1,0,0.632,2.711,1.095,-2.324
GDP-glucose Biosynthesis,1,0,0,0,0,0
GDP-L-fucose Biosynthesis II (from L-fucose),0,0,0,0,0,0
Generic Transcription Pathway,3.3,1,3.307,-4.419,3.074,0.243
Germ Cell-Sertoli Cell Junction Signaling,0,0,0,0,0,0
Glioblastoma Multiforme Signaling,2.53,0,2.132,1.581,1.543,-3.272
Glioma Invasiveness Signaling,2.53,0,0.302,3.545,2.132,-2.065
Glioma Signaling,2,0,-0.707,3.024,2.711,-1.604
Glucocorticoid Biosynthesis,0,0,0,0,0,0
Glucocorticoid Receptor Signaling,0,0,0,0,0,0
Glucose and Glucose-1-phosphate Degradation,1,0,0,0,0,0
Glutamate Degradation III (via 4-aminobutyrate),0,0,0,0,0,0
Glutamate Receptor Signaling,0,0,0,-0.333,-1.633,0
Glutaminergic Receptor Signaling Pathway (Enhanced),4.747,-0.832,2.412,0.834,0.216,-3.781
Glycerophospholipid biosynthesis,2.828,0,2.668,-0.2,0,-1.508
Glycine Degradation (Creatine Biosynthesis),0,0,0,0,0,0
Glycoaminoglycan-protein Linkage Region Biosynthesis,0,0,0,-1,0,0
Glycogen Biosynthesis II (from UDP-D-Glucose),0,0,0,0.447,0,0
Glycogen metabolism,0,0,1,-0.333,0,0
Glycosaminoglycan metabolism,3.207,0,1.807,2.268,-0.6,-1.941
Glyoxylate metabolism and glycine degradation,0,0,0,0.447,0,2.236
GM-CSF Signaling,2.449,0,-0.816,3.922,2.837,-1.732
GNRH Signaling,1,0,3.5,1.474,0.745,-1.789
GP1b-IX-V activation signalling,2.236,0,1.633,0,-0.447,-2
GP6 Signaling Pathway,5.196,0,3.402,2.214,-1.715,-5.396
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell,0.378,0,0.378,0,-0.229,-0.333
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells,2.887,0,2.333,0.343,-1.134,-2.84
GPER1 signaling,0,0,0.447,2.183,0.277,-1.342
G-protein beta:gamma signalling,2.236,0,0,2.111,-0.333,-2.236
G-Protein Coupled Receptor Signaling,6.533,-1.147,1.628,5.026,0.152,-5.607
GPVI-mediated activation cascade,2.53,0,1.134,2.84,0.333,-3.317
Granulocyte Adhesion and Diapedesis,0,0,0,0,0,0
Granzyme A Signaling,0,-1,-2.121,4.041,2.111,-2.236
Growth hormone receptor signaling,0,0,0.447,1.897,1.134,0
Growth Hormone Signaling,1.342,0,-1.897,2.449,1.8,-2.111
Gustation Pathway,2.837,-0.333,3.212,-1.131,-0.309,-1.886
Gα12/13 Signaling,1.387,0,0.408,2.214,1,-2.236
Gαi Signaling,3.051,0,0.535,3.244,2.043,-0.832
Gαq Signaling,2.828,0,0.258,2.654,-0.156,-3.8
Gαs Signaling,2.121,0,2.111,0.87,-1.5,-1.732
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),2.236,0,2.236,-1,1.826,0
Hematopoiesis from Multipotent Stem Cells,0,0,0,0,0,0
Heme signaling,0.447,0,0,-0.5,-0.426,0
Heparan Sulfate Biosynthesis,1.667,0,1.633,-0.447,0.277,-0.378
Hepatic Cholestasis,2.324,-0.447,1.4,1.432,0.289,-3.413
Hepatic Fibrosis / Hepatic Stellate Cell Activation,0,0,0,0,0,0
Hepatic Fibrosis Signaling Pathway,4.459,-0.333,2.954,2.098,1.65,-4.636
HER-2 Signaling in Breast Cancer,2.183,-0.447,0.577,4.826,2.38,-3.651
Hereditary Breast Cancer Signaling,0,0,0,0,0,0
HGF Signaling,1.265,0,0.5,2.611,3,-1.886
HIF1α Signaling,3.307,-0.707,1.715,3.299,0.816,-2.874
HIPPO signaling,0,0,0,-1.5,-0.728,0.378
HMGB1 Signaling,1.291,0,1.886,1.826,1.061,-3.272
HOTAIR Regulatory Pathway,4.359,-2,2.887,1.461,-0.333,-4.041
Human Embryonic Stem Cell Pluripotency,3.873,0,3.307,2.177,1.953,-3.053
Huntington's Disease Signaling,1.897,0,0.5,2.667,0.343,-1.069
Hypoxia Signaling in the Cardiovascular System,-0.447,0,2,0,0,0
ID1 Signaling Pathway,2.828,0.816,1.947,2.077,1.291,-2.92
IGF-1 Signaling,0,0,-0.577,2.401,2.401,-0.632
IL-1 Signaling,0,0,1.633,0.535,0.5,-1.667
IL-10 Signaling,0,0,0.943,1.021,-0.18,-0.209
IL-12 Signaling and Production in Macrophages,0.928,1.342,1.372,0.12,-1.361,-3.317
IL-13 Signaling Pathway,1.134,0,-0.688,2.335,2.837,-2.5
IL-15 Production,3.578,0,2.858,0,-1.915,-3.674
IL-17 Signaling,2.138,-1.414,4.226,1.982,1.915,-3.922
IL-17A Signaling in Airway Cells,1.342,0,0.577,0.943,1.414,-1.387
IL-17A Signaling in Fibroblasts,1.069,0,2.837,1.732,0,-3.441
IL-17A Signaling in Gastric Cells,0,0,2.236,-1,0,0
IL-2 Signaling,1.89,0,-0.333,3.71,2.4,-2.324
IL-23 Signaling Pathway,1,0,-1,2.668,2.138,-1.134
IL-3 Signaling,1.414,0,0,4.082,3.545,-2.324
IL-33 Signaling Pathway,1.789,0,1.569,3.317,1.093,-2.449
IL-6 Signaling,0.707,0,0.392,2.333,2.466,-2.132
IL-7 Signaling Pathway,2,0,-0.905,2.711,2.524,-2.324
IL-8 Signaling,4.49,-0.816,1.061,4.41,1,-4.743
IL-9 Signaling,1,0,-1.414,2.309,1.155,-2.53
ILK Signaling,0.832,0.816,3.333,1.155,0.149,-2.041
Immunogenic Cell Death Signaling Pathway,1,0,1.633,2.043,-0.243,-4
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,4.796,-0.816,1.414,5.571,-1.414,-5.667
Induction of Apoptosis by HIV1,0,0,1.342,-1.606,-1.069,-1.897
Inflammasome pathway,2,0,0,2.333,-0.447,-2.333
Inhibition of Angiogenesis by TSP1,0.816,0,-0.378,0,0.378,-1
Inhibition of Matrix Metalloproteases,-2.53,0.816,-2.121,0.707,0.333,0.707
iNOS Signaling,0,0,1.633,0.277,0.577,-2.828
Insulin processing,0,0,0,2.309,2.309,0
Insulin Receptor Signaling,0.447,0,-0.577,2.111,2.967,-0.302
Insulin Secretion Signaling Pathway,2.84,0,1.671,2.065,1.692,-3.528
Integration of energy metabolism,2.333,0,1.732,1.177,0,-1.732
Integrin cell surface interactions,5.831,-1.508,4.131,1.521,-2.646,-5.196
Integrin Signaling,4.379,-0.333,3.212,1.89,1.664,-3.286
Integrin signaling,2.236,0,0,2.333,-0.333,-2
Interferon gamma signaling,3.317,0,2.673,1.671,-0.775,-3.606
Interleukin-1 processing,0,0,0,0,0,0
Interleukin-10 signaling,2.496,0,2.309,3.638,0,-3.742
Interleukin-12 family signaling,0,0,1.342,1.155,0,0
Interleukin-15 signaling,0,0,0,1.342,-0.447,-2
Interleukin-2 family signaling,3,0,1,2.065,0.905,-3.873
"Interleukin-3, Interleukin-5 and GM-CSF signaling",2.828,0,0,2.837,1.732,-3.051
Interleukin-4 and Interleukin-13 signaling,3,0,2.268,3.507,0,-2.887
Interleukin-6 family signaling,0,0,1.667,1.155,1.414,-1.342
Interleukin-7 signaling,0,0,0,1,0.707,-1
Interleukin-9 signaling,0,0,0,1,0,-2
Intestinal absorption,0,0,0,0,0,0
Intra-Golgi and retrograde Golgi-to-ER traffic,2.828,1.633,2.828,1.905,2.219,-2.524
Intrinsic Prothrombin Activation Pathway,2.236,0,1.155,0.535,-0.707,-1.134
Ion channel transport,3.153,0.447,3.286,-1.483,0.295,-2.828
Iron homeostasis signaling pathway,0,0,0,0,0,0
ISG15 antiviral mechanism,0,0,1,1.886,2.858,0
ISGylation Signaling Pathway,2.333,0,1.604,0.73,0.378,-2.673
JAK/STAT Signaling,0,0,0.277,2.043,1.616,-1.941
Kinesins,0,2,2.828,0,-1.414,-3.464
Kinetochore Metaphase Signaling Pathway,0,0,0.577,1.347,1.134,-0.707
L1CAM interactions,3.441,-1.265,2.985,0.898,-0.707,-3.357
Late endosomal microautophagy,0,0,2,0.577,-0.707,0
Leptin Signaling in Obesity,0,0,-1.89,2.673,2.138,-0.378
Leukocyte Extravasation Signaling,4.747,-2,0.962,4.036,1.938,-4.629
Leukotriene Biosynthesis,0,0,0,0,0,0
LGI-ADAM interactions,0,0,2,-2.236,-2.236,0
Lipid particle organization,0,0,0,0,0,0
LPS/IL-1 Mediated Inhibition of RXR Function,-0.816,0,0,0.365,1.043,-0.302
LPS-stimulated MAPK Signaling,1.414,0,0.302,2.887,2.117,-2.668
LXR/RXR Activation,-0.816,1,0,-1.768,-1.46,2.324
Lymphotoxin β Receptor Signaling,2.236,0,-0.333,1.291,2.111,-2.333
Lysine Degradation II,0,0,0,0,0,0
Macroautophagy,0,0,0.816,0.229,0.728,0
Macrophage Alternative Activation Signaling Pathway,3.8,-0.816,0.174,2.066,0,-3.138
Macrophage Classical Activation Signaling Pathway,3.5,-2.121,1.213,1.64,0.784,-4.025
Macropinocytosis Signaling,2.449,0,-0.707,3.9,2.828,-2.324
MAP kinase activation,0,0,0,-1,1.414,-1.134
MAPK targets/ Nuclear events mediated by MAP kinases,0,0,0,1.508,1.897,0
Maturity Onset Diabetes of Young (MODY) Signaling,0,0,0,0,0,0
Mechanisms of Viral Exit from Host Cells,0,0,0,0,0,0
Melanocyte Development and Pigmentation Signaling,2.236,0,0,3.413,2.611,-1.604
Melanoma Signaling,2,0,-0.816,2.84,2.183,-1
Melatonin Signaling,0,0,1.342,0.816,0.229,-0.707
Metabolism of amine-derived hormones,0,0,1.342,0,-2,0
Metabolism of Angiotensinogen to Angiotensins,0,0,0,0.333,-0.707,0
Metabolism of folate and pterines,0,0,0,1,0,0
Metabolism of nitric oxide: NOS3 activation and regulation,0,0,0,1.134,0.816,0
Metabolism of porphyrins,0,0,0,2.121,2,1.342
Metabolism of steroid hormones,0,2.236,2.449,-1,-1,0
Metallothioneins bind metals,-2.828,2.828,2.449,0,0,0
MHC class II antigen presentation,2.53,1.342,2.887,2.268,0.192,-3.207
Microautophagy Signaling Pathway,0,0,1.414,1.671,2.2,2.236
MicroRNA Biogenesis Signaling Pathway,2.646,0,1.528,2.1,2.654,-1
MIF Regulation of Innate Immunity,0.816,0,2.121,0.905,-0.535,-2.828
MIF-mediated Glucocorticoid Regulation,2,0,1.633,1.265,-0.905,-2.449
Mineralocorticoid Biosynthesis,0,0,0,0,0,0
Miscellaneous transport and binding events,0,0,0,2.121,1.667,0
Mitochondrial biogenesis,0,0,1.134,0.2,0.853,0
Mitochondrial Dysfunction,0.277,-1.897,-2.722,2.8,0.577,-1.347
Mitotic Metaphase and Anaphase,0,0,3.3,2.496,4.662,-3.441
Mitotic Prometaphase,1.134,0.816,3.266,0.64,4.158,-3.441
Mitotic Prophase,0,0,0.816,0.962,3.024,1
Mitotic Roles of Polo-Like Kinase,0,0,1,-0.632,0.632,-0.816
Mitotic Telophase/Cytokinesis,0,0,0,0.447,1.89,0
Molecular Mechanisms of Cancer,9.791,-2.921,3.058,5.942,0.605,-7.425
Mouse Embryonic Stem Cell Pluripotency,2.236,0,1.213,1.808,1.667,-2.183
mRNA Editing,0,0,0,0,0,0
MSP-RON Signaling in Cancer Cells Pathway,1.155,0,2.694,2.111,0.632,-3.128
MSP-RON Signaling in Macrophages Pathway,0,0,2.683,0.493,0.73,-0.243
MSP-RON Signaling Pathway,0,0,0,0,0,0
mTOR Signaling,2.333,2,-0.577,2.064,1.206,-1.886
Multiple Sclerosis Signaling Pathway,4.146,-2.333,1.3,2,1,-3.78
MYC Mediated Apoptosis Signaling,0,0,0,0.258,0.302,-0.378
